id,username,email,password,user_deleted,last_login
1,johndoe,johndoe@example.com,Test01#,0,2023-04-10 14:30:00
2,janesmith,janesmith@example.com,Test02#,0,2023-04-09 08:15:00
3,bobbrown,bobbrown@example.com,Test03#,1,2023-04-08 16:45:00
4,alicegreen,alicegreen@example.com,Test04#,0,2023-04-07 10:00:00
5,markbaker,markbaker@example.com,Test05#,0,2023-04-10 12:00:00
6,ashleytaylor,ashleytaylor@example.com,Test06#,0,2023-04-09 13:00:00
7,jaredmiller,jaredmiller@example.com,Test07#,0,2023-04-09 16:30:00
8,michaelking,michaelking@example.com,Test08#,0,2023-04-08 09:15:00
9,samanthasmith,samanthasmith@example.com,Test09#,1,2023-04-07 11:45:00
10,davidlee,davidlee@example.com,Test10#,0,2023-04-06 14:00:00
